20180101,14093.6068305274,2345478673.51547,236440337971.831
20180102,15321.9328517642,4130217904.20997,257079617264.841
20180103,15583.8855377593,3310355625.12559,261505188675.858
20180104,15976.365194174,4217387187.52564,268124738814.997
20180105,18336.9229801691,6275687595.94033,307774011688.352
20180106,18343.6624934071,4240919830.5153,307926110569.528
20180107,17039.8739138488,3044989246.79648,286074127681.138
20180108,15900.3650216006,5752981089.53674,266976271422.562
20180109,15604.7234082405,4214092201.80707,262044268423.305
20180110,15509.2701268168,4969472882.94121,260474112841.845
20180111,14050.5696063543,5833888113.05388,236008991341.729
20180112,14759.294629915,4021952802.5977,247945818276.331
20180113,15193.3148979847,3134247725.13248,255265724750.927
20180114,14476.5889713691,3336056550.5532,243252295974.261
20180115,14411.9977069182,3222958351.44781,242193794408.733
20180116,11723.9135206658,9677283153.05966,197043955228.792
20180117,11415.3928442768,10225958520.6217,191882616843.447
20180118,11569.4249920858,6558304864.22333,194496634731.302
20180119,11758.4693327652,4208563477.45816,197698672432.581
20180120,13260.2711872786,4520485016.42738,222978421656.463
20180121,11703.5048628599,4319501969.01478,196828374433.092
20180122,10991.5950130802,5012581424.29001,184878210439.398
20180123,10894.0009053405,4779406610.50954,183260375707.762
20180124,11277.1159704489,3582338295.94443,189730563330.713
20180125,11225.2544568853,3204496193.30237,188880475665.027
20180126,11044.9072365744,4616389063.3104,185867144988.132
20180127,11456.2135062799,2894314081.3754,192805209257.314
20180128,11665.6969300847,2682886340.59903,196359635508.995
20180129,11157.6638878978,2345235501.17829,187828526722.435
20180131,9989.68977659669,3804947187.22869,168188285150.77
20180201,10114.495086226,3225562144.83861,170304196700.157
20180202,9070.55544937356,4769515274.3457,152744180864.164
20180203,8830.16351005472,6813550017.17383,148715185541.376
20180204,8994.91486607664,3422042094.73302,151507305722.97
20180205,8315.51749143615,3337096341.00611,140081544557.235
20180206,6852.05270051491,5313588642.98138,115444836533.448
20180207,7711.2203289411,9152685412.95559,129936854004.417
20180209,8208.57208449673,3190753947.37883,138345016554.785
20180210,8650.71675042998,2960039948.90738,145812043727.555
20180211,8574.67763849023,3371677737.53199,144544944416.748
20180212,8168.63777979963,2806997176.95887,137716289625.309
20180213,8911.3985742083,3069219870.56557,150256428069.512
20180214,8518.26907619091,2551515988.21609,143645913955.803
20180215,9428.02560716167,3282094240.87933,159007423075.024
20180216,10112.5801434467,4332356645.96348,170569769073.988
20180217,10155.2770555258,3141038601.33242,171309236631.063
20180218,11006.647685962,3699819140.17471,185692327611.288
20180219,10523.429305801,4740378626.74388,177561296505.315
20180220,11103.0900361497,3486171704.86656,187364222442.605
20180221,11502.3770496396,4225354045.179,194121879194.226
20180222,9973.59211951887,4574800113.39788,168362084194.477
20180223,10032.863112314,4626064156.35444,169362253983.195
20180224,10301.883609336,4009462976.49382,173922837770.066
20180225,9742.62819006538,3465387501.6657,164497574061.059
20180226,9699.51718151529,2743650277.5619,163790896885.658
20180227,10355.5781264856,3646748812.40375,174886939893.198
20180228,10709.3884310463,3398119467.10627,180884108725.43
20180301,10346.664931035,3182259829.31493,174778709347.899
20180302,10859.5521943893,2892166041.0524,183463718171.257
20180303,11098.0758092511,3031487197.13331,187514886761.388
20180304,11356.0416016724,3019436740.23881,191899353575.24
20180305,11286.6762891691,2580256309.47072,190747933122.937
20180306,11526.4209302906,2693945511.00851,194821583687.434
20180307,10727.716249205,3618749298.78602,181342656441.092
20180308,9999.68248604677,4896773758.15041,169056252057.669
20180309,9420.85488958591,4028135943.95804,159289105130.238
20180310,9276.33759031006,5476476288.95058,156862284242.875
20180311,8890.86580399612,3260891795.80132,150359761907.831
20180312,9512.45611286134,3876612721.94766,160888688653.477
20180313,9232.70587979953,4019736166.69097,156177221215.631
20180314,9216.53097626842,3628990704.00642,155921695042.49
20180315,8307.22338626638,4020163253.19298,140553335048.276
20180316,8359.36528334063,4571407139.63984,141449655895.935
20180317,8520.00815917187,3070872383.16169,144184737078.278
20180318,8063.4097921227,2591898944.22895,136472702736.86
20180319,8217.84219996114,4330642347.54297,139102798580.577
20180320,8640.52143024258,4276409099.70447,146274523240.434
20180321,8926.82049620007,3554700592.27965,151135311240.403
20180322,8970.31790627893,3081152046.02369,151888445786.249
20180323,8736.38576909829,2931676659.59385,147943048662.132
20180324,8824.59283177853,2877067842.09843,149451318665.614
20180325,8621.15079225785,2444371384.26949,146022681302.796
20180326,8478.63819558905,2066020545.39261,143623891714.181
20180327,8186.19606281355,2972024162.97679,138684803358.943
20180328,7836.76304425289,2653185409.40399,132779843611.386
20180329,7930.77954092755,2033730316.75905,134386559681.906
20180330,7126.89519256736,3680239216.31679,120777974799.763
20180331,6897.26857786945,4264255594.7461,116900853303.246
20180401,6975.27531402076,2565052340.23238,118234055446.543
20180402,6836.57232729678,2649647152.16978,115896903503.058
20180403,7080.41723231299,2253363912.16746,120044225923.527
20180404,7464.35609406668,2762080502.61078,126568883854.608
20180405,6845.31597826858,2544238382.12146,116084750821.373
20180406,6855.42230460675,2568972345.7027,116269847527.264
20180407,6628.75445585626,1840465005.57115,112436767361.372
