ADX,0.56977238965561,5814496.77522316,41838785.9828566
AE,1.41136679498037,4189883.99120636,328877356.731454
AGIX,0.120365060764396,174342.775381134,64685890.9128081
AION,1.94263214524698,6853591.32050867,224024088.390335
AMB,0.256460269995784,3089.79744921722,37081840.4874536
ANT,2.33629137907265,471255.841550039,61575795.5531938
APPC,0.309565016935621,1802865.67316727,30973314.7887619
ARDR,0.259567981636307,11537733.1395312,259308282.57284
ARK,2.13293,3937490,216936718.44588
AVT,0.887770665991062,332631.952136436,5326623.99594638
BAT,0.18737378321805,7590591.73571795,187373783.21805
BCC,0.692837,13631,6489720.345723
BCD,8.53608151794259,2830567.31952496,1305533915.59869
BCN,0.00210031122572203,1614080.23013253,386083305.337546
BCPT,0.357790782090902,3036798.14374121,25176569.8644148
BLZ,0.266261,3689260,43933065
BNB,12.5376211437594,92117585.7227633,1457643944.51778
BNT,2.25738357013036,3450142.157898,101686244.772641
BRD,0.404052408731842,1493406.90714991,30056812.2017078
BTC,6855.42230460675,2568972345.7027,116269847527.264
BTG,41.8617151079188,15770196.9815854,708524640.280679
BTS,0.140790797661858,10409781.6262956,367918736.173896
CDT,0.0348974299622521,1301508.13058107,22928415.4870886
CHSB,0.0251786852386755,67811.6685684919,14498419.0615845
CLOAK,5.07546,154146,25961972.69016
CND,0.0657902999954351,1367742.22188572,95131233.6424763
COMP,0.0000680727285804487,2330.68287256237,0
COVAL,0.00504259,14677.2,5042590
CVC,0.20530042613009,4476913.98220154,70356449.0545672
DASH,304.015036646261,57296649.9048672,2430235703.95792
DCR,43.9146060274471,722058.580274796,310604056.117591
DENT,0.0105702815052851,1824554.08075846,112201011.46908
DGB,0.0183860982745967,2407492.46276764,185231320.272425
DGD,209.834,13887600,419668000
DLT,0.152271486659242,949519.001884623,13092130.8129962
DNT,0.0503756695652925,1533958.91993137,30225401.7391755
ELF,0.536001338789892,27105164.3936316,134000334.697473
ENJ,0.0902228535237704,6713871.75162927,68225848.3210736
ETC,13.8192395728277,95093876.7696491,1395530726.04717
ETH,384.464485446188,767721856.050465,37923466118.6402
ETP,0.622400459601674,647927.061647479,23707405.2887546
EVX,1.02361051303944,3073857.07973173,16889573.4651508
FUEL,0.053060349175927,369670.493981068,25769808.8007802
FUN,0.0296402,1030690,140004690.016598
GAS,15.1770378662399,3645855.31495866,152199767.41771
GLM,0.195723,5546670,163284261.426
GNO,61.1698002143156,506043.886216191,67567549.6187309
GTC,0.0448904359890652,2088329.92844586,25465242.6804071
GTO,0.164035765125894,895446.49299225,45740165.6380884
GVT,17.1162,7465000,63788328.9522
HT,1.63134293937093,106670394.125125,0
ICX,1.97982169159173,36210114.200987,766275152.906464
IDEX,0.0708566,16430.4,7220820.381632
IOST,0.0292068912879587,53987369.291946,245337886.818853
KIN,0.000140625,331083,106326219.51225
KMD,2.53795,4248850,264045150.6384
LEND,0.0416594203573969,1318228.50800862,45247666.3785478
LINK,0.288759813917878,9766814.14252354,101065934.871257
LSK,8.64342067768956,35753079.0468476,894996598.815512
LUN,7.9130328690205,5891775.4288648,18182986.3171774
LYM,0.0176984480393959,48255.1690231895,9585179.89420531
MANA,0.0725809322958871,7197443.79949188,76220249.7658298
MCO,4.94686864424025,8091606.53758132,65326081.6499977
MDA,0.672877385171193,625591.476447957,13207834.8312582
MDT,0.0505171384201671,418228.36998828,10085256.770378
MKR,506.479344547165,24478.1775956318,313119712.220705
MLN,44.1021,247978,26434798.74
MTH,0.0765910539460392,332616.843895567,16629044.3894976
MTL,3.35987,15758600,75067774.51968
NAS,4.41734278285976,7778957.92079131,156815668.791522
NAV,0.82951673751948,1816108.17906672,51984075.2732639
NEBL,7.41215118483752,8228255.1218049,96159364.2240413
NEO,47.5999820918984,75664692.1514406,3093998835.9734
NMR,11.1488512907075,193467.08804948,15098655.177128
NPXS,0.000764525143386424,328274.204553072,32139814.7926415
NULS,1.8283933534333,7151814.49770802,73135734.137332
NXS,1.41468046581723,1133257.44290018,80007662.5869482
OAX,0.483405429643802,3873624.64863204,12089607.2413193
OMNI,22.3113129966056,30949.7400887956,12512875.9791993
OST,0.1326942327208,1964842.25626753,40517959.4426546
PIVX,4.03434791618915,8326822.28260252,225593889.184883
PLU,6.09761978992699,3035.66786721804,5182976.82143794
POA,0.318681972737782,2552488.70097236,64973356.3939642
POE,0.0290730416804423,17347120.8647416,65615533.9392566
POLIS,3.76849964115426,40175.6112722308,5939102.67546414
POWR,0.302620363832813,11719367.2078851,110133520.831888
PPT,11.9016,1143980,440407127.7432
QLC,0.123259998120921,8310275.59636764,29582399.5490211
QSP,0.103514334673309,4022138.96413989,63900865.6954702
QTUM,13.4817,97401700,1193154069.9384
RCN,0.0862545361397648,5837769.37379604,42181318.0222191
RDN,1.24099799325877,6316965.86940167,62259548.8999279
REN,0.0309340981945529,509592.787043924,14212432.4495788
REP,26.6255,13615200,292880500
REQ,0.145415928405616,3090140.4645428,96405149.5139103
RLC,0.820696188355062,901953.332222062,65713794.6136672
RVN,0.0394872324745349,249945.151532992,30903701.3964167
SALT,2.01760738689248,5501288.64259385,113523915.865754
SNGLS,0.0547343,849531,32840580
SNM,0.0988617197225536,767095.767868684,35550674.4122303
SNT,0.0887952253131988,31078284.8939416,308162389.901264
SNX,0.333478038962655,59663.1352094592,33347803.8962654
STEEM,1.75076384573145,4177846.31530776,447961490.141006
STMX,0.0289417194637483,61362596.6215793,118338437.525349
STORJ,0.746763245705108,10636552.6224357,99637254.2124841
STRAX,3.55687046263651,10465086.1520235,351437646.008198
